title,author,status,engagements,kudos,comments,hits,rating,words,chapters,status_date,additional_tags
<a href='https://archiveofourown.org/works/34359310'>Tumbling into Magic</a>,Creativityx,Completed,782,543,239,18299,Mature,160464,36,2022-04-21,NA
"<a href='https://archiveofourown.org/works/44203564'>a lover, or something of mine</a>",Smokestarrules,Completed,769,448,321,7213,Teen And Up Audiences,62910,8,2023-01-29,"Alternate Universe - Reincarnation, Fluff and Angst, Angst with a Happy Ending, it's gonna take a while to get there but we Will get there, Mutual Pining, Hurt/Comfort, The Character Deaths Do Not Stick"
<a href='https://archiveofourown.org/works/26112586'>For Those Left Behind</a>,GleeCastOST,Completed,767,577,190,11418,Teen And Up Audiences,39870,21,2020-09-06,"Hurt/Comfort, Angst, Angst and Humor"
"<a href='https://archiveofourown.org/works/44158627'>Oh, I've found my way (I'm coming home)</a>",juststreetspirit,Completed,766,728,38,5731,Mature,20443,2,2023-01-30,"Canon Compliant, ava has a bucket list, set during two months, and after, Reunion, Fluff, Light Angst, Emotional Hurt/Comfort, Dancing in the Rain, They're so Soft With Each Other, lots of longing, Idiots in Love, Post-Canon, Rating Change, Woops, Smut, Camping, ava gets the beach day she deserves"
<a href='https://archiveofourown.org/works/26489794'>Vices</a>,GleeCastOST,Completed,765,567,198,11334,Teen And Up Audiences,45214,21,2020-09-26,"Hurt/Comfort, Angst, Fluff, Fluff and Angst, Avatrice"
<a href='https://archiveofourown.org/works/26669023'>Secret Project X</a>,GleeCastOST,Completed,754,608,146,12346,Teen And Up Audiences,40493,21,2020-10-10,"AU, Fluff and Angst"
<a href='https://archiveofourown.org/works/43623754'>I Know There's Nothing Left To Cling To (But I'm still calling out your name)</a>,heartinvacancy,Completed,715,675,40,6238,General Audiences,24575,4,2022-12-19,"Hanahaki Disease, AU, Angst with a Happy Ending, Not beta'd we die like men standing between Beatrice and Ava"
<a href='https://archiveofourown.org/works/26876491'>Unburden Thy Heart</a>,Ailuroos,Completed,714,624,90,13398,Teen And Up Audiences,81495,4,2021-05-27,"I'm not even gonna tag Adriel, this not about him, i don't think i can do angst really well but there is a bit of it..., fluff too, a lot of tears and hugs, mention of shannon/mary, there is some oc sisters... both current and dead halo bearers, i'm a sucker for soft lilith so there's a bunch of soft lilith here..., Canon-Typical Violence, i'm not gona tag all friendship tags because it's all of them"
<a href='https://archiveofourown.org/works/27221602'>Followed Down an Empty Road</a>,GleeCastOST,Completed,682,536,146,9806,Teen And Up Audiences,41342,19,2020-11-14,"Angst, Fluff and Angst, AU"
<a href='https://archiveofourown.org/works/43942204'>But I Think I Could Love Her (Crimson and Clover)</a>,unburnttkhaleesi,Completed,679,661,18,5203,Mature,20787,1,2022-12-30,"meet cute, michael is a child in this, ava is his big sister, who falls head over heels for his aikido instructor, ava is adopted by jillian and living her best life, they fall in love and read gay poems, and beatrice is a boss, jc is a bit of an asshole in the begining, But he redeems himself, it's a 20k one shot, sorry everyone, AU no halo, AU no demons, Background Shotgun Mary/Shannon Masters"
<a href='https://archiveofourown.org/works/26963263'>The Sins of Saint Beatrice</a>,GleeCastOST,Completed,667,540,127,10238,Teen And Up Audiences,29393,14,2020-10-25,"Angst, Comfort/Angst, Angst and Humor"
<a href='https://archiveofourown.org/works/43806976'>from the dust come all things beautiful</a>,understreetlights,Completed,642,604,38,6207,Mature,20570,1,2022-12-24,"Alternate Universe - Canon Divergence, Angst, Hurt/Comfort, Angst with a Happy Ending, Fluff, i have no idea what this is, sorry in advance, started typing and suddenly it was 20k words"
<a href='https://archiveofourown.org/works/28041084'>12 Days of Christmas with You</a>,GleeCastOST,Completed,629,535,94,8348,Teen And Up Audiences,21348,12,2020-12-25,"Angst, Fluff and Angst, Christmas, Angst with a Happy Ending"
<a href='https://archiveofourown.org/works/26975689'>being alive</a>,piedpiperwriter,Completed,618,455,163,9904,Mature,68803,11,2020-12-28,"ok i think thats all of them, what a laundry list. sheesh, there will be mentions and descriptions of homophobia and violence, and mentions/descriptions of death, so approach with caution, theres technically major character death in more ways than one but also not at all?, i dont know, basically have an open mind, and enjoy. obviously, im proud of these ocs i hope you like my babies as much as i do, this fic was entirely inspired by stephen sondheim's brilliant wrinkly brain, oh and bea's last name is edwards now. that's law, there is. a lot of crying, and a lot of emotions and trauma, it's worth it tho, repeating for clarity: this is my take on the ENTIRETY of s2, obviously its gna center bea/ava but thats not gna be the only content, EDIT 9/10/21: for the sake of yall and myself im going to make this a 'part 1', that can more or less stand on its own, bc 'part 2' is in its infant stage still. so, theres just more to the story that i want to get to at some point., anyway. hopefully i get a kick in the rear to get this going again soon., but anyway. enjoy if you havent read and if you have then thank you mwah"
<a href='https://archiveofourown.org/works/27194833'>Luke 16:10</a>,Thisistheend,Completed,604,548,56,8053,Teen And Up Audiences,21593,4,2020-11-27,"Fluff, Fluff without Plot, Avatrice, On the Run, Beatrice is my comfort character okay, Shotgun Mary is the ultimate wingman, is it obvious that quarantine is making me want to travel, how many Bible references can I make without ever having picked up a Bible in my life, Lilshotgun, Happy Ending, Are we questioning our spirituality? Our sexuality? The answer is yes, O Pinterest gods show me the way of overused Bible verses, Slow Burn, you can have a little lilshotgun as a treat, Yeah Camila totally ships it, found family foUND FAMILY FOUND FAMILY, Mutual Pining, Beatrice. Deserves. Happiness., Love Confessions, Internalized Homophobia, They're In Love Your Honor"
<a href='https://archiveofourown.org/works/26117971'>It's not living (if it's not with you)</a>,Galaxiez,Completed,575,544,31,7096,Teen And Up Audiences,21653,1,2020-08-26,"there's some fluff, there's some angst, there are definitely too many puns, I was cringing while writing them, there wasn't gonna be a part two, yet here we are, Alternate Universe - College/University"
<a href='https://archiveofourown.org/works/29100213'>The Way the Wind Blows</a>,surpanakha,Completed,571,437,134,6791,Mature,49104,8,2021-05-14,"Hanahaki Disease, Pre-World War II, Angst with a Happy Ending, Strangers to Lovers"
<a href='https://archiveofourown.org/works/26383741'>(It's you) you're the one that makes me feel right</a>,Galaxiez,Completed,565,514,51,5155,Teen And Up Audiences,20566,1,2020-09-10,"Alternate Universe - College/University, Beatrice POV, Little bit of angst, whole lot of soft, I just really love all of these characters okay"
<a href='https://archiveofourown.org/works/26865706'>Hijinks and Hauntings at the OKS House</a>,GleeCastOST,Completed,528,415,113,7817,Teen And Up Audiences,30801,18,2020-10-26,"Horror, Alternate Universe - College/University, Fluff and Angst, Crack"
<a href='https://archiveofourown.org/works/43798386'>Built Composure</a>,juniperre,Completed,512,407,105,6943,Explicit,28226,5,2023-01-11,"Post-Canon, Post-Time Skip, Reunions, Jealousy, Angst with a Happy Ending, Religious Conflict, Not Beta Read, rated E to be safe but i try to be a gentlewoman about these things, they're so in love it's literally stupid, the girls are fightingggggg etc etc"
