title,author,status,engagements,kudos,comments,hits,rating,words,chapters,status_date,additional_tags
"<a href='https://archiveofourown.org/works/44203564'>a lover, or something of mine</a>",Smokestarrules,Completed,769,448,321,7213,Teen And Up Audiences,62910,8,2023-01-29,"Alternate Universe - Reincarnation, Fluff and Angst, Angst with a Happy Ending, it's gonna take a while to get there but we Will get there, Mutual Pining, Hurt/Comfort, The Character Deaths Do Not Stick"
"<a href='https://archiveofourown.org/works/44158627'>Oh, I've found my way (I'm coming home)</a>",juststreetspirit,Completed,766,728,38,5731,Mature,20443,2,2023-01-30,"Canon Compliant, ava has a bucket list, set during two months, and after, Reunion, Fluff, Light Angst, Emotional Hurt/Comfort, Dancing in the Rain, They're so Soft With Each Other, lots of longing, Idiots in Love, Post-Canon, Rating Change, Woops, Smut, Camping, ava gets the beach day she deserves"
<a href='https://archiveofourown.org/works/43623754'>I Know There's Nothing Left To Cling To (But I'm still calling out your name)</a>,heartinvacancy,Completed,715,675,40,6238,General Audiences,24575,4,2022-12-19,"Hanahaki Disease, AU, Angst with a Happy Ending, Not beta'd we die like men standing between Beatrice and Ava"
<a href='https://archiveofourown.org/works/43942204'>But I Think I Could Love Her (Crimson and Clover)</a>,unburnttkhaleesi,Completed,679,661,18,5203,Mature,20787,1,2022-12-30,"meet cute, michael is a child in this, ava is his big sister, who falls head over heels for his aikido instructor, ava is adopted by jillian and living her best life, they fall in love and read gay poems, and beatrice is a boss, jc is a bit of an asshole in the begining, But he redeems himself, it's a 20k one shot, sorry everyone, AU no halo, AU no demons, Background Shotgun Mary/Shannon Masters"
<a href='https://archiveofourown.org/works/43806976'>from the dust come all things beautiful</a>,understreetlights,Completed,642,604,38,6207,Mature,20570,1,2022-12-24,"Alternate Universe - Canon Divergence, Angst, Hurt/Comfort, Angst with a Happy Ending, Fluff, i have no idea what this is, sorry in advance, started typing and suddenly it was 20k words"
<a href='https://archiveofourown.org/works/43798386'>Built Composure</a>,juniperre,Completed,512,407,105,6943,Explicit,28226,5,2023-01-11,"Post-Canon, Post-Time Skip, Reunions, Jealousy, Angst with a Happy Ending, Religious Conflict, Not Beta Read, rated E to be safe but i try to be a gentlewoman about these things, they're so in love it's literally stupid, the girls are fightingggggg etc etc"
<a href='https://archiveofourown.org/works/43232103'>Flowers For Vases</a>,gillywulf,Completed,492,413,79,6764,Mature,23138,14,2023-01-31,"Post Season 2, based on music, Grief/Mourning, Eventual Happy Ending"
<a href='https://archiveofourown.org/works/44744599'>the moon knew me (it took my side)</a>,possibilist,Completed,322,277,45,2677,Mature,21083,1,2023-02-03,"butch bea, My Love, this is.... so long lmfao, it's sad & then happy + very soft, baby butch bea :( the sweetest kid, ava the best partner... horny at all times, an elegy... to letting go of homophobic mothers?? idk"
<a href='https://archiveofourown.org/works/43875162'>WARRIOR NUN ONE SHOTS</a>,sisterbeatriceabs,Completed,297,265,32,4654,Mature,36546,7,2023-01-18,"Avatrice, wlw, Repressed Sister Beatrice (Warrior Nun), Sister Camila Ships It (Warrior Nun), LGBTQ Themes, warrior nun - Freeform"
<a href='https://archiveofourown.org/works/29939100'>The halo is not infallible</a>,Creativityx,Completed,284,239,45,6379,Mature,34060,7,2023-01-27,"Whole lotta hurt/comfort, Ava and Beatrice established relationship, Did I make Superion and Jillian fall in love? yes, It's just gay chaos family vibes"
<a href='https://archiveofourown.org/works/39753594'>Behind each moment</a>,fire3jj,Completed,271,215,56,6637,Teen And Up Audiences,73917,22,2023-02-05,"Love, Diary/Journal, Avatrice, scenes, Season1, Fighting, Falling In Love, First Kiss"
<a href='https://archiveofourown.org/works/43217493'>That The Sea May Be Calm For Us</a>,waterintheshadows,Completed,243,221,22,2997,Teen And Up Audiences,20007,1,2022-11-22,"Warrior Nun (TV) Season 2 Spoilers, Post-Season/Series 02, Lighthouses, Ocean, Fire, Crisis of Faith, Book of Jonah, Religious Imagery & Symbolism, Whales, I Don't Trust Reya, Repressed Sister Beatrice (Warrior Nun), Internalized Homophobia, Blood and Injury, Blacking Out, Atlantic Ocean, Rain, Trust, Homophobia, Alternate Universe, Angst, Cliffhangers, Bisexual Jesus Ava Silva, Hope vs. Revenge, Islands, Religion And Relationships"
<a href='https://archiveofourown.org/works/43294923'>A Romance Under the Moon</a>,Crystalline_Cat,Completed,146,145,1,8577,Mature,26067,12,2023-01-23,"Gay Mess Sister Beatrice (Warrior Nun), Sister Beatrice Needs a Hug (Warrior Nun), Ava Silva Being Ava Silva, Cuddling & Snuggling, Platonic Cuddling, Slow Burn, Comfort/Angst"
<a href='https://archiveofourown.org/works/44090866'>Your Presence I Seek (My Mind At Ease)</a>,CyanideArctic,Completed,127,120,7,3885,Teen And Up Audiences,24367,9,2023-02-03,"Jealous Sister Beatrice (Warrior Nun), Season/Series 02, Canon Compliant, Sharing a Bed, Domestic Fluff, Light Angst, Blood and Violence, Falling In Love, Religious Conflict, Emotionally Repressed, Touch-Starved, Bisexual Ava Silva, Internal Conflict, Ava and Michael are disaster siblings, Found Family, Family Feels, ava die's for a few seconds, minor lilshotgun, Canon-Typical Violence, Happy Ending"
