title,author,status,engagements,kudos,comments,hits,rating,words,chapters,status_date,additional_tags
<a href='https://archiveofourown.org/works/43329501'>lifelong love letter</a>,Smokestarrules,Completed,1339,1264,75,6688,Teen And Up Audiences,3546,1,2022-11-30,"Hurt/Comfort, One Shot, Ava POV After The Fall, (Yes That One), Blood and Injury, It's Healed But Covering All My Bases, Introspection, They're so in love it hurts, Canon Compliant, Fluff and Angst, bro theyre so soft what the hell, I'm a different person from who I was before nov 10, yk the 'there was only one bed' trope, this one has TWO beds but they only need one, title is from sara bareilles' ""I Choose You"" bc it reminds me of them"
<a href='https://archiveofourown.org/works/43279194'>J is for Jealousy</a>,Vapora,Completed,1337,1313,24,7989,Teen And Up Audiences,5720,1,2022-11-26,"Jealousy, First Kiss, Friends to Lovers, Not Canon Compliant, honestly i can't stop thinking about these two, Fluff, Light Angst, Fluff and Crack, i wrote this at work"
<a href='https://archiveofourown.org/works/43060842'>let the water fill into me (i'll spill it from my mouth)</a>,geekchic64,Completed,1322,1288,34,8591,Teen And Up Audiences,4706,1,2022-11-14,"pre-season two, Mutual Pining, gratuitous use of touch as a language, Fake/Pretend Relationship, for like a hot minute, takes place during their stay in the alps, POV Sister Beatrice (Warrior Nun)"
<a href='https://archiveofourown.org/works/25421806'>Fearfully and Wonderfully Made</a>,shamrock,Completed,1321,1089,232,10653,General Audiences,9069,5,2020-07-28,NA
<a href='https://archiveofourown.org/works/28735260'>Moving Forward</a>,puppybusby,Completed,1310,1257,53,16819,Teen And Up Audiences,12158,1,2021-01-13,"Fluff, Neck Kissing, Coming Out, we love a couple that can communicate healthily, sometimes a hickey can be part of an emotional journey, apparently"
<a href='https://archiveofourown.org/works/43203072'>gotta have you</a>,totheflame,Completed,1308,1277,31,6557,General Audiences,1726,1,2022-11-22,"Tumblr Prompt, Sharing a Bed, Ficlet"
<a href='https://archiveofourown.org/works/43303068'>there is no sweeter innocence than our gentle sin</a>,karatam,Completed,1307,1249,58,6948,Mature,6314,1,2022-11-28,"Phone Sex, Established Relationship, set in a post-s3 world where they're all alive and happy, Smut"
<a href='https://archiveofourown.org/works/25214920'>disconnect me from my skin</a>,foibles_fables,Completed,1304,1201,103,8315,Teen And Up Audiences,2272,1,2020-07-12,"Repression, Internalized Homophobia, Femslash, I just want them to be girlfriends so bad ok, Character Study, Touch-Starved"
<a href='https://archiveofourown.org/works/43163530'>these are the side effects I want for life</a>,totheflame,Completed,1302,1269,33,5414,General Audiences,2027,1,2022-11-19,"Beatrice is Sick, Ava Takes Care of Her, Pre-Season/Series 02, Tumblr Prompt, Pre-Relationship, Fluff"
<a href='https://archiveofourown.org/works/26386279'>Confessions of a Lost Girl</a>,DangersUntoldHardshipsUnnumbered,Completed,1291,972,319,11977,Explicit,13457,8,2020-09-15,AU
<a href='https://archiveofourown.org/works/43144290'>my hymn for her</a>,sups,Completed,1281,1219,62,8010,General Audiences,4159,1,2022-11-18,"Angst with a Happy Ending, after season 2, Post-Canon, Avatrice, there's some humour in there as well, at least i think there is, it's cute i promise"
"<a href='https://archiveofourown.org/works/43124373'>oh, those little miracles</a>",that_one_urchin,Completed,1276,1242,34,5321,Not Rated,3084,1,2022-11-20,"Domestic Fluff, Some Humor, Cuddling & Snuggling, Relationship Discussions"
<a href='https://archiveofourown.org/works/44113581'>Applied research</a>,takemetothemountains,Completed,1275,1183,92,16442,Explicit,15946,3,2023-02-10,"Girl Penis, Girl Penis Beatrice, smut with feelings, Mutual Masturbation, Developing Relationship, Porn With Plot, lil' bit of praise kink, They're In Love Your Honor, Teasing"
<a href='https://archiveofourown.org/works/25484005'>And The Next</a>,425_ThePerfectDate,Completed,1275,1196,79,10899,Teen And Up Audiences,5495,3,2020-10-13,"Fluff and Angst, Angst with a Happy Ending, jealous beatrice, Very light swearing? rated teen in case, Romance, Pining"
