title,author,status,engagements,kudos,comments,hits,rating,words,chapters,status_date,additional_tags
<a href='https://archiveofourown.org/works/43163530'>these are the side effects I want for life</a>,totheflame,Completed,1302,1269,33,5414,General Audiences,2027,1,2022-11-19,"Beatrice is Sick, Ava Takes Care of Her, Pre-Season/Series 02, Tumblr Prompt, Pre-Relationship, Fluff"
"<a href='https://archiveofourown.org/works/43124373'>oh, those little miracles</a>",that_one_urchin,Completed,1276,1242,34,5321,Not Rated,3084,1,2022-11-20,"Domestic Fluff, Some Humor, Cuddling & Snuggling, Relationship Discussions"
<a href='https://archiveofourown.org/works/44113581'>Applied research</a>,takemetothemountains,Completed,1275,1183,92,16442,Explicit,15946,3,2023-02-10,"Girl Penis, Girl Penis Beatrice, smut with feelings, Mutual Masturbation, Developing Relationship, Porn With Plot, lil' bit of praise kink, They're In Love Your Honor, Teasing"
<a href='https://archiveofourown.org/works/43155180'>lets rest for a while 'til our souls catch us up</a>,the_ominous_owl,Completed,1251,1160,91,8541,Teen And Up Audiences,3613,1,2022-11-19,"Angst with a Happy Ending, look this turned out a lot angstier than i planned, which i probably should've expected given the premise, but i fix it at the end i swear, technically a 5+1? i guess?"
<a href='https://archiveofourown.org/works/43418703'>zoom zoom beep beep crash crash</a>,nirav,Completed,1251,1201,50,7898,Teen And Up Audiences,5929,1,2022-12-05,NA
<a href='https://archiveofourown.org/works/43696726'>party for one (back on my beat)</a>,Care,Completed,1225,1181,44,9559,Mature,3376,1,2022-12-18,"Masturbation, Switzerland era"
<a href='https://archiveofourown.org/works/43423650'>we should weep to be free (do you still see god in me)</a>,pigeonwhispers,Completed,1215,1187,28,6512,Mature,3467,1,2022-12-05,"Reunions, Catholic Guilt, Internalized Homophobia, Hair Washing, Post Season 2, Canon Compliant, (assuming you ignore the time difference between earth and the other realm), rampant personal projection, i guess five years of catholic school was Enough, they are so gentle with each other i can't, also they wanna fuck so bad"
<a href='https://archiveofourown.org/works/43321225'>and the sage always smells so pretty</a>,heartshapedcandy,Completed,1207,1136,71,8487,Teen And Up Audiences,4153,1,2022-11-29,"spent a day googling wildflowers only to make two mentions of them so, pls enjoy it"
<a href='https://archiveofourown.org/works/43739391'>here is where my love lays</a>,nirav,Completed,1165,1105,60,6970,Mature,8828,1,2022-12-21,NA
<a href='https://archiveofourown.org/works/44308528'>tell me please all is forgiven (touch me)</a>,paddingtonfan69,Completed,1139,1076,63,6536,Explicit,9470,1,2023-01-15,"throwing my hat into the ring of canon divergent bc they fuck in switzerland, physical touch girlies, no plot just vibes once more"
